dateTime,activities-calories,activities-steps,Activities-distance,activities-floors,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-efficiency
2016-03-12,2082,12287,9,0,00:22,497,497,100
2016-03-13,2643,20440,15,0,00:01,422,422,100
2016-03-14,1904,5471,4,0,23:38,491,491,100
2016-03-15,1966,7904,5,0,23:47,412,412,100
2016-03-16,1774,155,0,0,06:41,104,104,100
2016-03-17,1850,2813,2,0,,0,0,0
2016-03-18,1867,4256,3,0,,0,0,0
2016-03-19,2283,15548,11,0,00:15,516,516,100
2016-03-20,2781,19510,14,0,00:19,428,428,100
2016-03-21,1855,3268,2,0,23:56,440,440,100
2016-03-22,1906,5539,4,0,00:17,450,450,100
2016-03-23,1918,5850,4,0,22:56,433,433,100
2016-03-24,1997,9807,7,0,00:13,446,446,100
2016-03-25,2001,9491,7,0,00:53,413,413,100
2016-03-26,2104,12719,9,0,00:34,510,510,100
2016-03-27,1915,6346,4,0,00:38,433,433,100
2016-03-28,2594,19835,14,0,01:19,424,424,100
2016-03-29,1960,7107,5,0,00:50,477,477,100
2016-03-30,1997,9873,7,0,00:57,475,475,100
2016-03-31,2030,9756,7,0,01:22,449,449,100
2016-04-01,2019,9934,7,0,01:26,353,353,100
2016-04-02,2097,12885,9,0,,0,0,0
2016-04-03,2679,16756,12,0,01:52,379,379,100
2016-04-04,1938,7090,5,0,00:49,477,477,100
2016-04-05,1840,2898,2,0,00:59,465,465,100
2016-04-06,1760,,0,0,,0,0,0
2016-04-07,1760,,0,0,,0,0,0
2016-04-08,1760,,0,0,,0,0,0
2016-04-09,1760,,0,0,,0,0,0
2016-04-10,1760,,0,0,,0,0,0
2016-04-11,1760,,0,0,,0,0,0
2016-04-12,1760,,0,0,,0,0,0
2016-04-13,1760,,0,0,,0,0,0
2016-04-14,1760,,0,0,,0,0,0
2016-04-15,1773,,0,0,,0,0,0
2016-04-16,1773,,0,0,,0,0,0
2016-04-17,1773,,0,0,,0,0,0
2016-04-18,1773,,0,0,,0,0,0
2016-04-19,1773,,0,0,,0,0,0
2016-04-20,1773,,0,0,,0,0,0
2016-04-21,1773,,0,0,,0,0,0
2016-04-22,1773,,0,0,,0,0,0
2016-04-23,1773,,0,0,,0,0,0
2016-04-24,1773,,0,0,,0,0,0
2016-04-25,1773,,0,0,,0,0,0
2016-04-26,1773,,0,0,,0,0,0
2016-04-27,1773,,0,0,,0,0,0
2016-04-28,1773,,0,0,,0,0,0
2016-04-29,1773,,0,0,,0,0,0
2016-04-30,1773,,0,0,,0,0,0
2016-05-01,1773,,0,0,,0,0,0
2016-05-02,1773,,0,0,,0,0,0
2016-05-03,1773,,0,0,,0,0,0
2016-05-04,1879,3251,2,0,02:16,364,364,100
2016-05-05,2068,7945,5,0,,0,0,0
2016-05-06,2315,14324,10,0,01:18,421,421,100
2016-05-07,2282,14198,10,0,,0,0,0
2016-05-08,2534,21264,15,0,01:24,460,460,100
2016-05-09,2043,6597,4,0,00:42,445,445,100
2016-05-10,2104,8236,6,0,01:50,415,415,100
2016-05-11,1974,5072,3,0,01:04,451,451,100
2016-05-12,2137,9491,7,0,,0,0,0
2016-05-13,2297,14007,10,0,01:11,446,446,100
2016-05-14,2261,11700,8,0,01:58,491,491,100
2016-05-15,2811,19893,14,0,01:42,419,419,100
2016-05-16,2214,11632,8,0,00:27,482,482,100
2016-05-17,2134,10316,7,0,01:43,412,412,100
2016-05-18,2025,6233,4,0,00:55,460,460,100
2016-05-19,2048,6363,4,0,23:00,525,525,100
2016-05-20,2248,12432,9,0,,0,0,0
2016-05-21,2251,14206,10,0,01:43,391,391,100
2016-05-22,2407,19810,14,0,01:13,390,390,100
2016-05-23,2231,11899,8,0,23:45,488,488,100
2016-05-24,2406,16839,12,0,00:44,480,480,100
2016-05-25,2204,11955,8,0,,0,0,0
2016-05-26,2233,9896,7,0,01:48,410,410,100
2016-05-27,2222,11512,8,0,,0,0,0
2016-05-28,2725,32069,23,0,00:43,429,429,100
2016-05-29,2017,6535,4,0,,0,0,0
2016-05-30,2067,7894,5,0,00:49,479,479,100
2016-05-31,2124,8251,6,0,01:17,439,439,100
2016-06-01,2049,6451,4,0,01:01,452,452,100
2016-06-02,2047,6547,4,0,01:58,430,430,100
2016-06-03,1961,3608,2,0,01:17,514,514,100
2016-06-04,1760,0,0,0,,0,0,0
2016-06-05,1760,0,0,0,,0,0,0
2016-06-06,1760,0,0,0,,0,0,0
2016-06-07,2170,9017,6,0,00:57,445,445,100
2016-06-08,2115,8917,6,0,01:14,450,450,100
2016-06-09,2192,11096,8,0,01:27,424,424,100
