dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-08-31,0,0.0,1778,1778,0,0.0,0,0,1306,0,0,0,11:20,134,134,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-01,0,0.0,1778,1778,0,0.0,0,0,1380,0,0,0,21:01,60,60,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-02,0,0.0,1778,1778,0,0.0,0,0,1390,0,0,0,21:01,50,50,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-03,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-04,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-05,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-06,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-07,0,0.0,1778,1778,0,0.0,0,0,1400,0,0,0,14:01,40,40,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-08,0,0.0,1778,1778,0,0.0,0,0,1331,0,0,0,14:01,109,109,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-09,0,0.0,1778,1778,0,0.0,0,0,1378,0,0,0,21:01,62,62,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-10,0,0.0,1778,1778,0,0.0,0,0,1337,0,0,0,11:49,103,103,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-11,0,0.0,1778,1778,0,0.0,0,0,1390,0,0,0,21:01,50,50,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-12,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-13,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-14,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-15,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-16,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-17,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-18,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-19,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-20,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-21,0,0.0,1778,1778,0,0.0,0,0,1379,0,0,0,13:50,61,61,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-22,0,0.0,1778,1778,0,0.0,0,0,1380,0,0,0,21:01,60,60,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-23,0,0.0,1778,1778,0,0.0,0,0,1379,0,0,0,13:50,61,61,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-24,0,0.0,1778,1778,0,0.0,0,0,1400,0,0,0,20:00,40,40,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-25,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-26,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-27,0,0.0,1778,1778,0,0.0,0,0,1432,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-28,0,0.0,1778,1778,0,0.0,0,0,850,0,0,0,23:52,533,533,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-29,0,0.0,1778,1778,0,0.0,0,0,1282,0,0,0,08:56,158,158,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-30,0,0.0,1778,1778,0,0.0,0,0,1028,0,0,0,08:56,412,412,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-01,0,0.0,1778,1778,0,0.0,0,0,1110,0,0,0,08:56,330,330,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-02,0,0.0,1778,1778,0,0.0,0,0,1043,0,0,0,02:33,397,397,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-03,0,0.0,1778,1778,0,0.0,0,0,1015,0,0,0,02:53,425,425,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-04,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-10-05,0,0.0,1778,1778,0,0.0,0,0,950,0,0,0,00:33,490,490,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-06,0,0.0,1778,1778,0,0.0,0,0,1032,0,0,0,01:20,408,408,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-07,0,0.0,1778,1778,0,0.0,0,0,924,0,0,0,00:34,516,516,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-08,0,0.0,1778,1778,0,0.0,0,0,1059,0,0,0,01:59,381,381,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-09,0,0.0,1778,1778,0,0.0,0,0,975,0,0,0,01:00,465,465,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-10,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-10-11,0,0.0,1778,1778,0,0.0,0,0,940,0,0,0,01:33,500,500,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-10-12,0,0.0,1778,1778,0,0.0,0,0,954,0,0,0,00:45,486,486,0,0,0,0,100,75.0,23.671255111694336,18.5
